user_name,status,datetime
Sen. Maggie Hassan,"On the anniversary of the Pulse shooting we should recommit to supporting LGBTQ Americans — but instead, the administration is putting their health at risk.
https://t.co/VET1Pknz3y",2020-06-12 18:18:08.419898
Jeanne Shaheen,"The Portsmouth Naval Shipyard was founded 220 years ago today. It's a critical component of our economy and national defense. Last year, we stopped $162M from being diverted by the Trump admin.

You can be sure: I will always defend PNSY and its workers.
https://t.co/fqpYbPQpB6",2020-06-12 18:21:53.899517
Ed Markey,"Trans rights are human rights and Donald Trump is a bigot. We will fight to protect, affirm, and amplify our trans siblings in this fight. Please join me in making a contribution to the Trans Emergency Fund today. https://t.co/YS0Jb22hcC",2020-06-12 18:52:04.348422
Tammy Duckworth,"For over a century, when our nation has asked ""who among you will serve,"" women have consistently volunteered.

Proud to join @SenBooker to announce a bipartisan resolution to designate today, June 12th, as Women Veterans Appreciation Day.",2020-06-12 18:54:17.823207
Kyrsten Sinema,"Arizonans: @AZStateBar offers a hotline for legal issues during the coronavirus outbreak. Call 866-611-6022 for help.
https://t.co/YHi05thqEP",2020-06-12 19:00:06.251557
Richard Blumenthal,"Denying passengers real legal rights &amp; redress—airlines are burying arbitration clauses in tiny print, barring courthouse doors. Yet another consumer atrocity, after billions in taxpayer bailouts. https://t.co/S86SI7nXer",2020-06-12 19:03:06.208731
Senator Ben Cardin,".@POTUS has been on a dangerous mission to take away access to health care from Americans who need it the most. To rule to allow providers to discriminate against LGBTQ patients, especially during #PrideMonth AND in the middle of a pandemic, is disgraceful. We must fight this.",2020-06-12 19:10:04.683782
Tina Smith,"53 years ago today, the U.S. Supreme Court struck down laws banning interracial marriage in Virginia and 15 other states in the case Loving v. Virginia. Let's celebrate this important mark in the fight for racial justice. #LovingDay  https://t.co/pRwi1EN7YR",2020-06-12 19:10:26.834302
Elizabeth Warren,"In the middle of a pandemic, the President wants to strip away health care &amp; risk LGBTQ+ Americans' lives to pander to right-wing ideologues. This is hateful &amp; wrong. Trump must protect LGBTQ+ rights, and if he won't, the Senate must act.",2020-06-12 19:15:17.413731
Brian Schatz,Why virtual care will outlast the pandemic - POLITICO https://t.co/wAujX9kFJd,2020-06-12 19:19:55.906762
Ed Markey,"Here in Massachusetts we know that LGBTQ+ rights are human rights. Today as we raise the Pride flag over the Massachusetts Statehouse, we also raise our voices to call for equality, an end to discrimination, and justice for all. https://t.co/ynckKkLXSe",2020-06-12 19:21:54.791313
Amy Klobuchar,"""I have this nightmare of CNN, Fox, CBS &amp; everyone else waiting for these things to come in on election night &amp; we don't have them,"" said a PA county manager.

We can’t let this happen. Let's pass my bill &amp; give states resources to make voting safe &amp; easy. https://t.co/Z6rbidsiRk",2020-06-12 19:32:01.054725
Ed Markey,I have mobilized and organized coalitions to pass 580 laws in Congress. That is real progressive leadership. https://t.co/mfojSXZV2S,2020-06-12 19:37:23.941466
Richard Blumenthal,"Let’s count Trump’s insults added to injuries in his Tulsa political rally—endangering lives, denying accountability, defiling the Juneteenth holiday, demeaning Black deaths &amp; history, dividing the nation, &amp; many more. Shameful.",2020-06-12 19:40:59.459552
Cory Booker,"Chokeholds should be banned nationwide. Period.
https://t.co/kcODfcn8eE",2020-06-12 19:45:23.708834
Kamala Harris,We must demilitarize police departments.,2020-06-12 19:52:05.658976
Richard Blumenthal,"This Pride month, Trump&amp;his admin are achieving their long-term goal of dismantling protections for LGBTQ+ people. Harmful, hate-filled rollbacks will make it easier for hospitals &amp; health care workers to discriminate based on gender or sexual orientation. https://t.co/3kq2Bh71xN",2020-06-12 20:04:15.556773
Sheldon Whitehouse,"This is cruel, not to mention foolish and unnecessary.",2020-06-12 20:31:47.735104
Ed Markey,We are indebted to the Black trans activists who paved the way for today’s LGBTQ+ pride celebrations. But in the wake of two murders this week—of Riah Milton and Rem’mie Fells—we must recognize that we have not done enough to protect the trans community and Black trans women.,2020-06-12 20:44:52.567706
Amy Klobuchar,"AG Barr was at the center of the decision to remove peaceful protesters from Lafayette Square so Trump could have a photo-op.

The Senate Judiciary Committee must demand answers about the federal government’s response to protesters &amp; treatment of journalists.

Let’s do our job.",2020-06-12 20:53:03.345409
Tina Smith,I’m joining my fellow Senators in calling on FEMA to provide Tribal governments with guidance on disaster relief resources and how to receive support. Tribes have been hit hard by COVID-19. We must fulfill our responsibility to help.,2020-06-12 20:57:05.722872
Doug Jones,"Today, we remember the 49 people killed at the Pulse nightclub in Orlando in 2016 - a senseless act of violence against the LBTQ+ community. This and every Pride Month we rededicate ourselves to the fight for the safety and dignity of ALL people. #OneAlabama https://t.co/NQUoO1UYKR",2020-06-12 21:00:30.223199
Chris Murphy,This is a problem that needs to be fixed. https://t.co/D06KzgyBfO,2020-06-12 21:13:17.538276
